artist,title,decade,date,lyric
Bon Jovi,Livin’ on a Prayer,80s,1986,"84 contributorstranslationsportuguêslivin’ on a prayer lyricsintro once upon a time, not so long ago  verse 1 tommy used to work on the docks union's been on strike, he's down on his luck it's tough so tough gina works the diner all day workin' for her man, she brings home her pay for love mm, for love  pre-chorus she says, ""we've gotta hold on to what we've got it doesn't make a difference if we make it or not we've got each other and that's a lot for love we'll give it a shot""  chorus woah, we're halfway there woah-oh, livin' on a prayer take my hand, we'll make it, i swear woah-oh, livin' on a prayer  verse 2 tommy's got his six-string in hock now he's holdin' in, when he used to make it talk so tough ooh, it's tough gina dreams of runnin' away when she cries in the night, tommy whispers ""baby, it's okay someday"" you might also likepre-chorus we've gotta hold on to what we've got it doesn't make a difference if we make it or not we've got each other and that's a lot for love we'll give it a shot  chorus woah, we're halfway there woah-oh, livin' on a prayer take my hand, we'll make it i swear woah-oh, livin' on a prayer, livin' on a prayer  guitar solo  bridge ooh, we gotta hold on, ready or not you live for the fight when that's all that you've got  chorus woah, we're halfway there woah-oh, livin' on a prayer take my hand and we'll make it, i swear woah-oh, livin' on a prayer woah, we're halfway there woah-oh, livin' on a prayer take my hand and we'll make it, i swear woah-oh, livin' on a prayer woah, we're halfway there woah-oh, livin' on a prayer take my hand and we'll make it, i swear woah-oh, livin' on a prayer49embed"
Bon Jovi,It’s My Life,00s,2000,"54 contributorstranslationsportuguêsελληνικάit’s my life lyricsverse 1 this ain't a song for the broken-hearted (woah oh, woah oh, oh) no silent prayer for the faith-departed i ain't gonna be just a face in the crowd you're gonna hear my voice when i shout it out loud  chorus it's my life, it's now or never i ain't gonna live forever i just want to live while i'm alive (it's my life) my heart is like an open highway like frankie said, ""i did it my way"" i just wanna live while i'm alive it's my life  verse 2 this is for the ones who stood their ground for tommy and gina who never backed down tomorrow's getting harder make no mistake luck ain't even lucky, got to make your own breaks  chorus it's my life, it's now or never i ain't gonna live forever i just want to live while i'm alive (it's my life) my heart is like an open highway like frankie said, ""i did it my way"" i just wanna live while i'm alive 'cause it's my life you might also likebridge better stand tall when they're calling you out don't bend, don't break, baby, don't back down  chorus it's my life, it's now or never i ain't gonna live forever i just want to live while i'm alive (it's my life) my heart is like an open highway like frankie said, ""i did it my way"" i just wanna live while i'm alive it's my life and it's now or never i ain't gonna live forever i just want to live while i'm alive (it's my life) my heart is like an open highway like frankie said, ""i did it my way"" i just wanna live while i'm alive it's my life41embed"
Bon Jovi,You Give Love a Bad Name,80s,1986,"60 contributorstranslationsportuguêsyou give love a bad name lyricsintro shot through the heart and you're to blame darling, you give love a bad name  verse 1 an angel's smile is what you sell you promised me heaven, then put me through hell chains of love got a hold on me when passion's a prison, you can't break free  pre-chorus woah, you're a loaded gun, yeah oh, there's nowhere to run no one can save me, the damage is done  chorus shot through the heart and you're to blame you give love a bad name (bad name) i play my part and you play your game you give love a bad name (bad name) yeah, you give love a bad name  verse 2 paint your smile on your lips blood red nails on your fingertips a school boy's dream, you act so shy your very first kiss was your first kiss goodbye you might also likepre-chorus woah, you're a loaded gun oh, there's nowhere to run no one can save me, the damage is done  chorus shot through the heart and you're to blame you give love a bad name (bad name) i play my part and you play your game you give love a bad name (bad name) you give love a—  guitar solo  chorus oh, shot through the heart and you're to blame you give love a bad name i play my part and you play your game you give love a bad name (bad name) shot through the heart and you're to blame you give love a bad name (bad name) i play my part and you play your game you give love a bad name (bad name)  outro you give love you give love, bad name you give love you give love, bad name you give love you give love, bad name you give love you give love, bad name34embed"
Bon Jovi,Wanted Dead or Alive,80s,1986,"36 contributorstranslationsportuguêswanted dead or alive lyricsverse 1 it's all the same, only the names will change every day it seems we're wastin' away another place where the faces are so cold i'd drive all night just to get back home  chorus i'm a cowboy on a steel horse i ride i'm wanted dead or alive wanted dead or alive  verse 2 sometimes i sleep, sometimes it's not for days the people i meet always go their separate ways sometimes you tell the day by the bottle that you drink and times when you're alone, well, all you do is think  chorus i'm a cowboy on a steel horse i ride i'm wanted (wanted) dead or alive wanted (wanted) dead or alive  post-chorus oh, and i ride you might also likeguitar solo  chorus ooh, i'm a cowboy on a steel horse i ride i'm wanted (wanted) dead or alive  verse 3 but i walk these streets, a loaded six-string on my back i play for keeps 'cause i might not make it back i've been everywhere, (oh yeah) still i'm standin' tall i've seen a million faces and i've rocked them all  chorus 'cause i'm a cowboy on a steel horse, i ride i'm wanted (wanted) dead or alive and i'm a cowboy i got the night on my side and i'm wanted (wanted) dead or alive  outro and i ride (and i ride), dead or alive i still drive (still drive), dead or alive dead or alive dead or alive dead or alive dead or alive22embed"
Bon Jovi,Always,90s,1994,"33 contributorstranslationsportuguêsελληνικάalways lyricsverse 1 this romeo is bleeding but you can't see his blood it's nothing but some feelings that this old dog kicked up it's been raining since you left me now i'm drowning in the flood you see i've always been a fighter but without you i give up i can't sing a love song like the way it's meant to be well, i guess i'm not that good anymore but baby, that's just me  chorus and i will love you, baby, always and i'll be there forever and a day, always i'll be there till the stars don't shine till the heavens burst and the words don't rhyme and i know when i die, you'll be on my mind and i'll love you, always  verse 2 now your pictures that you left behind are just memories of a different life some that made us laugh, some that made us cry one that made you have to say goodbye what i'd give to run my fingers through your hair to touch your lips, to hold you near when you say your prayers try to understand i've made mistakes, i'm just a man when he holds you close, when he pulls you near when he says the words you've been needing to hear i'll wish i was him 'cause those words are mine to say to you 'till the end of time you might also likechorus yeah, i will love you, baby, always and i'll be there forever and a day, always  bridge if you told me to cry for you i could if you told me to die for you i would take a look at my face there's no price i won't pay to say these words to you  guitar solo  well, there ain't no luck in these loaded dice but baby if you give me just one more try we can pack up our old dreams and our old lives we'll find a place where the sun still shines  chorus and i will love you, baby, always and i'll be there forever and a day, always i'll be there till the stars don't shine till the heavens burst and the words don't rhyme and i know when i die, you'll be on my mind and i'll love you, always always24embed"
Bon Jovi,I’ll Be There for You,50s,1950,"16 contributorstranslationsportuguêsi’ll be there for you lyricsverse 1 i guess this time you're really leavin' i heard your suitcase say goodbye well as my broken heart lies bleedin' you say true love is suicide you say you've cried a thousand rivers and now you're swimmin' for the shore you left me drownin' in my tears and you won't save me anymore i'm prayin' to god you'll give me one more chance, girl  chorus i'll be there for you, these five words i swear to you when you breathe i want to be the air for you, i'll be there for you i'd live and i'd die for you, i'd steal the sun from the sky for you words can't say what love can do, i'll be there for you  verse 2 i know you know we've had some good times now they have their own hidin' place well, i can promise you tomorrow but i can't buy back yesterday and, baby, you know my hands are dirty (and baby you know my hands are dirty) but i wanted to be your valentine i'll be the water when you get thirsty, baby when you get drunk, i'll be the wine you might also likechorus i'll be there for you, these five words i swear to you when you breathe i want to be the air for you, i'll be there for you i'd live and i'd die for you, i'd steal the sun from the sky for you words can't say what love can do, i'll be there for you  guitar solo  bridge and i wasn't there when you were happy (and i wasn't there to make you happy) i wasn't there when you were down i didn't mean to miss your birthday, baby i wish i'd seen you blow those candles out  chorus i'll be there for you, these five words i swear to you when you breathe i want to be the air for you, i'll be there for you i'd live and i'd die for you, i'd steal the sun from the sky for you words can't say what love can do, i'll be there for i'll be there for you, these five words i swear to you when you breathe i want to be the air for you, i'll be there for you i'd live and i'd die for you, i'd steal the sun from the sky for you words can't say what love can do, i'll be there for you  outro woah, oh, oh, woah, oh, oh, woah, oh, oh, woah woah, oh, oh, woah, oh, oh, woah, oh, oh, woah woah, oh, oh, woah, oh, oh, woah, oh, oh, woah7embed"
Bon Jovi,Bed of Roses,90s,1992,"24 contributorstranslationsportuguêsbed of roses lyricsverse 1 sitting here wasted and wounded at this old piano trying hard to capture the moment this morning i don't know 'cause a bottle of vodka is still lodged in my head and some blonde gave me nightmares i think that she's still in my bed as i dream about movies they won't make of me when i'm dead  verse 2 with an ironclad fist, i wake up and french kiss the morning while some marching band keeps its own beat in my head while we're talking about all of the things that i long to believe about love and the truth and what you mean to me and the truth is baby you're all that i need  chorus i want to lay you down in a bed of roses for tonight i sleep on a bed of nails oh i wanna be just as close as the holy ghost is and lay you down on a bed of roses  verse 3 well i'm so far away, that each step that i take is on my way home a king's ransom in dimes i'd given each night just to see through this payphone still i run out of time or it's hard to get through till the bird on the wire flies me back to you i'll just close my eyes and whisper baby, blind love is true you might also likechorus i want to lay you down in a bed of roses for tonight i sleep on a bed of nails oh i want to be just as close as the holy ghost is and lay you down on a bed of roses  bridge well, this hotel bar hangover whiskey's gone dry the barkeeper's wig's crooked and she's giving me the eye i might have said yeah but i laughed so hard i think i died ooh yeah  guitar solo  verse 4 now as you close your eyes know i'll be thinking about you while my mistress she calls me to stand in her spotlight again tonight, i won't be alone but you know that don't mean i'm not lonely i've got nothing to prove for it's you that i'd die to defend chorus i want to lay you down in a bed of roses for tonight i sleep on a bed of nails oh i want to be just as close as the holy ghost is and lay you down  chorus i want to lay you down in a bed of roses for tonight i sleep on a bed of nails i want to be just as close as the holy ghost is and lay you down on a bed of roses11embed"
Bon Jovi,Runaway,80s,1984,"27 contributorstranslationsportuguêsrunaway lyricsverse 1 on the street where you live girls talk about their social lives they're made of lipstick, plastic and paint, a touch of sable in their eyes (all your life) all your life all you've asked when's your daddy gonna talk to you but you was living in another world trying to get your message through  pre-chorus no one heard a single word you said they should have seen it in your eyes what was going around your head  chorus ooh, she's a little runaway daddy's girl learned fast all those things she couldn't say ooh, she's a little runaway  verse 2 take a line every night guaranteed to blow your mind i see you out on the streets, calling for a wild time so you sit home alone cause there's nothing left that you can do there's only pictures hung in the shadows left there to look at you you know she likes the lights at nights on the neon broadway signs she don't really mind, it's only love she hoped to find  chorus ooh, she's a little runaway daddy's girl learned fast all those things she couldn't say ooh, she's a little runaway you might also likeguitar solo  pre-chorus no one heard a single word you said they should have seen it in your eyes what was going around your head  chorus ooh, she's a little runaway daddy's girl learned fast all those things she couldn't say ooh, she's a little runaway daddy’s girl learned fast now she works the night away ooh, she's a little runaway daddy's girl learned fast all those things she couldn't say ooh, she's a little runaway daddy’s girl learned fast now she works the night away ooh, she's a little runaway7embed"
Bon Jovi,Bad Medicine,80s,1988,"24 contributorstranslationsportuguêsbad medicine lyricschorus your love is like bad medicine bad medicine is what i need oh-oh-oh, shake it up, just like bad medicine there ain't no doctor that can cure my disease (bad medicine)  verse 1 i ain't got a fever got a permanent disease it'll take more than a doctor to prescribe a remedy i got lots of money but it isn't what i need gonna take more than a shot to get this poison out of me and i got all the symptoms count them, one, two, three  pre-chorus first you need (that's what you get for falling in love) then you bleed (you get a little but it's never enough) on your knees (that's what you get for falling in love) and now this boy's addicted cause your kiss is the drug  chorus oh-oh-oh, your love is like bad medicine bad medicine is what i need oh-oh-oh, shake it up, just like bad medicine there ain't no doctor that can cure my disease (bad, bad medicine) you might also likeverse 2 i don't need no needle to be giving me a thrill and i don't need no anesthesia or a nurse to bring a pill i got a dirty down addiction, it doesn't leave a track i've got a jones for your affection like a monkey on my back there ain't no paramedic gonna save this heart attack  pre-chorus when you need (that's what you get for falling in love) then you bleed (you get a little but it's never enough) on your knees (that's what you get for falling in love) now this boy is addicted and your kiss is the drug  chorus oh-oh-oh, your love is like bad medicine bad medicine is what i need oh-oh-oh, shake it up, just like bad medicine so let's play doctor, baby, cure my disease (bad, bad medicine) that's what i want (bad, bad medicine) that's what i need  verse 3 i need a respirator cause i'm running out of breath you're an all night generator wrapped in stockings and a dress when you find your medicine you take what you can get 'cause if there's something better baby well they haven't found it yet chorus oh-oh-oh, your love is like bad medicine bad medicine is what i need oh-oh-oh, shake it up, just like bad medicine there ain't no doctor that can cure my disease your love, bad medicine bad medicine is what i need oh-oh-oh, shake it up, just like bad medicine your love's the potion that can cure my disease bad, bad medicine is what i want bad, bad medicine (i gotta, i gotta, i gotta, i gotta)  breakdown i gotta, i gotta i gotta do it again, wait a minute, wait a minute hold on i'm not done one more time with feeling come on help me out now  chorus your love is like bad medicine bad medicine is what i need oh-oh-oh, shake it up just like bad medicine you got the potion that can cure my disease your love, bad medicine your kiss is what i need your love, bad medicine8embed"
Bon Jovi,Thank You for Loving Me,00s,2000,"12 contributorstranslationsελληνικάthank you for loving me lyricsverse 1 it's hard for me to say the things i want to say sometimes there's no one here but you and me and that broken old street light lock the doors, we'll leave the world outside all i've got to give to you are these five words tonight  chorus thank you for loving me for being my eyes when i couldn't see for parting my lips when i couldn't breathe thank you for loving me thank you for loving me  verse 2 i never knew i had a dream until that dream was you when i look into your eyes, the sky's a different blue cross my heart, i wear no disguise if i tried, you'd make believe that you believed my lies  chorus thank you for loving me for being my eyes when i couldn't see for parting my lips when i couldn't breathe thank you for loving me  bridge you pick me up when i fall down you ring the bell before they count me out if i was drowning, you would part the sea and risk your own life to rescue me, yeah yeah, yeah, yeah, yeah, yeah, yeah, yeah you might also likepre-chorus lock the doors, we'll leave the world outside all i've got to give to you are these five words tonight  chorus thank you for loving me for being my eyes when i couldn't see for parting my lips when i couldn't breathe thank you for loving me when i couldn't fly, oh, you gave me wings you parted my lips when i couldn't breathe thank you for loving me  outro thank you for loving me thank you for loving me oh, for loving me4embed"
