words,00s,10s,50s,80s,90s
10,0,4,0,0,1
11,1,1,0,1,0
12,2,0,0,0,1
13,1,0,0,0,0
14,1,1,0,0,0
16,0,1,1,0,0
18,0,0,0,1,0
20,1,0,0,0,0
22,0,1,0,0,0
24,0,0,0,1,1
27,0,0,0,1,0
33,0,0,0,0,1
36,0,0,0,1,0
38,0,0,0,1,0
54,1,0,0,0,0
84,0,0,0,1,0
911,0,0,0,1,0
able,0,0,0,1,0
about,0,1,0,0,0
across,0,1,0,0,1
act,0,0,0,1,0
action,0,0,1,0,0
addicted,0,0,0,1,0
addiction,0,0,0,1,0
advice,0,1,0,0,0
affection,0,0,0,1,0
afraid,0,1,0,0,0
again,1,0,0,1,0
again1embed,0,1,0,0,0
age,0,0,0,0,1
ago,0,0,0,1,0
aim,0,0,0,1,0
ain,0,1,0,0,1
aint,5,10,1,4,4
air,0,0,1,0,0
aisle,0,1,0,0,0
alive,1,3,1,1,2
alive22embed,0,0,0,1,0
all,0,0,0,3,0
alley,0,0,0,1,0
alls,0,0,0,0,1
almost,0,1,0,0,0
alone,1,2,0,3,1
alright,2,1,0,4,1
also,8,18,3,13,8
although,0,2,0,0,0
always,1,3,0,3,1
always24embed,0,0,0,0,1
am,0,1,0,0,0
ambulance,0,3,0,0,0
america,0,1,0,0,0
american,0,1,0,0,0
anarchy,0,1,0,0,0
and,0,0,1,3,0
anesthesia,0,0,0,1,0
angel,0,1,0,1,0
anger,0,0,0,0,1
anguish,0,1,0,0,0
another,1,7,1,2,0
anothers,0,1,0,0,0
anybody,1,0,0,0,0
anybodys,0,0,0,0,1
anymore,0,1,1,0,1
anyone,1,0,0,0,0
anything,1,0,1,0,1
apologize,1,0,0,0,0
apology,1,0,0,0,0
arch,0,1,0,0,0
are,1,0,0,0,0
arkansas,0,2,0,0,0
arm,0,2,0,1,1
around,2,3,0,1,1
arrive,0,1,0,0,0
arrogant,0,1,0,0,0
arrow,0,0,0,0,1
ash,0,0,0,0,1
ask,1,2,0,0,0
asked,0,0,0,1,0
askin,0,1,0,0,0
asylum,0,1,0,0,0
attack,0,0,0,1,0
aurora,0,1,0,0,0
awake,0,1,0,0,0
away,2,1,0,5,6
aways,1,0,0,0,0
baby,2,4,3,7,6
back,3,5,1,4,3
backed,1,1,0,0,0
backseat,0,0,0,1,0
bad,1,0,0,2,1
badge,0,1,0,0,0
baffled,0,1,0,0,0
ball,0,1,0,0,0
band,0,0,0,2,1
bar,0,0,0,0,1
bare,0,0,0,0,1
bargain,0,0,0,0,1
barkeeper,0,0,0,0,1
basement,0,0,0,0,1
bathing,0,1,0,0,0
be,1,2,0,1,0
beach,0,1,0,0,0
bear,0,1,0,0,0
beat,1,0,0,1,1
beautiful,0,1,0,0,0
beauty,0,1,0,0,0
became,0,1,0,0,0
because,0,1,0,0,0
become,0,1,0,0,0
bed,0,2,1,0,2
beep,0,1,0,0,0
beg,0,0,0,0,1
begged,0,0,0,0,1
begun,0,1,0,0,1
behind,0,1,0,1,2
bein,0,0,0,1,0
believe,3,2,0,1,3
believed,1,0,0,0,0
bell,1,1,0,0,0
belong,0,0,0,0,1
bend,1,4,0,0,0
beneath,0,1,0,0,0
beside,1,0,0,0,0
best,1,0,0,0,0
bet,0,0,0,1,0
better,1,3,1,3,2
big,0,0,0,0,1
bill,0,2,0,1,0
billie,0,0,0,0,1
bird,0,0,0,0,1
birthday,0,0,1,0,0
bit,0,2,0,0,0
bitchin,0,0,0,0,1
bite,0,1,0,0,0
bitter,1,0,0,0,0
bittersweet,1,0,0,0,0
black,2,2,0,0,0
blame,0,0,0,1,1
blast,0,0,0,1,0
bleed,1,1,0,1,0
bleedin,0,0,1,0,1
bleeding,0,0,0,0,1
blessed,0,0,0,0,1
blessing,1,1,0,0,0
blew,0,0,0,0,1
blind,1,0,0,1,4
blonde,0,0,0,0,1
blood,0,3,0,2,3
bloodembed,0,0,0,1,0
blow,0,0,1,2,1
blowin,0,1,0,0,0
blowing,0,1,0,0,0
blue,1,0,0,0,0
boarded,0,2,0,0,0
